# X Z alpha M alpha_nu logL Teff log<L> <Teff> ndom Pdom       
0.7 0.010 1.5 1.0 0.02 3.210 3244 3.218 3210  1   57.0
0.7 0.010 1.5 1.0 0.05 3.225 3230 3.233 3193  1   59.5
0.7 0.010 1.5 1.0 0.10 3.445 3017 3.449 2955  0  226.5
0.7 0.010 1.5 1.0 0.20 3.520 2944 3.523 2874  0  296.5
0.7 0.010 1.5 2.6 0.00 3.975 3076 3.975 3001  1  159.3
0.7 0.010 1.5 2.6 0.01 3.980 3070 3.979 2999  1  161.3
0.7 0.010 1.5 2.6 0.02 3.985 3066 3.985 2996  1  163.5
0.7 0.010 1.5 2.6 0.05 4.005 3047 4.004 2982  1  173.2
0.7 0.010 1.5 2.6 0.10 4.205 2862 4.204 2769  0  729.5
0.7 0.010 1.5 2.6 0.20 4.215 2854 4.213 2729  0  804.4
0.7 0.010 2.0 1.0 0.00 3.325 3560 3.324 3478  1   54.2
0.7 0.010 2.0 1.0 0.01 3.340 3546 3.338 3465  1   56.1
0.7 0.010 2.0 1.0 0.02 3.350 3536 3.348 3457  1   57.8
0.7 0.010 2.0 1.0 0.05 3.390 3499 3.389 3417  1   64.3
0.7 0.010 2.0 1.0 0.10 3.535 3362 3.535 3258  1   94.2
0.7 0.010 2.0 1.0 0.20 3.635 3265 3.635 3099  0  289.5
0.7 0.010 2.0 2.6 0.00 4.095 3378 4.097 3241  0  339.1
0.7 0.010 2.0 2.6 0.01 4.105 3367 4.106 3234  0  349.7
0.7 0.010 2.0 2.6 0.02 4.110 3363 4.112 3229  0  353.4
0.7 0.010 2.0 2.6 0.05 4.150 3325 4.150 3172  0  409.7
0.7 0.010 2.0 2.6 0.10 4.195 3282 4.194 3051  0  464.2
0.7 0.010 2.0 2.6 0.20 4.270 3213 4.269 3021  0  594.7
0.7 0.010 2.5 1.0 0.00 3.390 3800 3.382 3687  1   49.1
0.7 0.010 2.5 1.0 0.01 3.405 3787 3.398 3679  1   51.3
0.7 0.010 2.5 1.0 0.02 3.425 3771 3.419 3665  1   53.9
0.7 0.010 2.5 1.0 0.05 3.480 3725 3.474 3604  1   62.9
0.7 0.010 2.5 1.0 0.10 3.575 3643 3.573 3539  1   81.3
0.7 0.010 2.5 1.0 0.20 3.720 3515 3.720 3300  0  276.9
0.7 0.010 2.5 2.6 0.00 4.150 3641 4.150 3441  0  305.4
